Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\crepuscule in opal trouville.jpg,1181,893,"(350, 350)"
D:/Thesis/realism_data/realism\croquet players.jpg,600,399,"(100, 100)"
D:/Thesis/realism_data/realism\croquet scene.jpg,2560,1576,"(72, 72)"
D:/Thesis/realism_data/realism\dawn in the desert.jpg,1000,699,
D:/Thesis/realism_data/realism\daytime in the steppes.jpg,1000,679,
D:/Thesis/realism_data/realism\dead cat.jpg,758,627,"(96, 96)"
D:/Thesis/realism_data/realism\death of a gentleman.jpg,2258,2703,
D:/Thesis/realism_data/realism\demidov hotel. fragment of panorama of nevsky prospect.jpg,549,263,"(72, 72)"
D:/Thesis/realism_data/realism\departure of an omnibus from st. isaac's square in st. petersburg.jpg,739,551,"(300, 300)"
D:/Thesis/realism_data/realism\difficult bride.jpg,2024,1649,"(96, 96)"
D:/Thesis/realism_data/realism\diomede v. kiselev.jpg,1016,1300,"(72, 72)"
D:/Thesis/realism_data/realism\don quixote and sancho pansa having a rest under a tree.jpg,1363,1722,"(300, 300)"
D:/Thesis/realism_data/realism\don quixote and sancho panza going to the wedding gamaches.jpg,2096,2802,"(300, 300)"
D:/Thesis/realism_data/realism\dr. veron.jpg,362,512,"(72, 72)"
D:/Thesis/realism_data/realism\dresden. bridge of august.jpg,1000,645,
D:/Thesis/realism_data/realism\drouin de l'huys.jpg,347,512,"(72, 72)"
D:/Thesis/realism_data/realism\duvergier de hauranne.jpg,346,512,"(72, 72)"
D:/Thesis/realism_data/realism\easter procession in yaroslavl.jpg,2064,1200,"(72, 72)"
D:/Thesis/realism_data/realism\eastern wing of verkiai palace.jpg,663,447,"(72, 72)"
D:/Thesis/realism_data/realism\edge of river.jpg,590,462,
"D:/Thesis/realism_data/realism\elisabeth imrédy, edle von omorovicze.jpg",2738,3508,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\emilie menzel asleep.jpg,1280,983,"(72, 72)"
D:/Thesis/realism_data/realism\emily patmore.jpg,331,319,"(120, 120)"
"D:/Thesis/realism_data/realism\encampment of bohemians, in the ruins of the abbey of saint bavo ghent.jpg",317,470,"(96, 96)"
"D:/Thesis/realism_data/realism\encore, encore.jpg",3092,2135,"(400, 400)"
"D:/Thesis/realism_data/realism\entrance into verkiai palace, vilnius, lithuania.jpg",639,450,"(150, 150)"
D:/Thesis/realism_data/realism\entrance to a chalet in the bernese oberland.jpg,906,647,
D:/Thesis/realism_data/realism\entrance to port of havre.jpg,951,724,"(1, 1)"
D:/Thesis/realism_data/realism\equestrian scene from the hungarian campaign.jpg,800,582,"(600, 600)"
D:/Thesis/realism_data/realism\evening in albano near rome.jpg,736,586,"(600, 600)"
"D:/Thesis/realism_data/realism\fall at the jean-du-paris, in the forest of fontainebleau.jpg",1005,1199,
"D:/Thesis/realism_data/realism\family on the barricades, 1848.jpg",2024,2591,"(72, 72)"
D:/Thesis/realism_data/realism\farmer with an ox cart on the appian way near an aqueduct in the roman campagna.jpg,1500,986,"(72, 72)"
D:/Thesis/realism_data/realism\fashionable wife lioness.jpg,500,397,"(96, 96)"
D:/Thesis/realism_data/realism\fate of a ship at sea.jpg,723,1000,
D:/Thesis/realism_data/realism\father saw.jpg,768,501,"(72, 72)"
D:/Thesis/realism_data/realism\femme.jpg,303,351,"(72, 72)"
D:/Thesis/realism_data/realism\ferdinand flocon.jpg,362,512,"(72, 72)"
D:/Thesis/realism_data/realism\fern leaves and burdock.jpg,1000,754,
D:/Thesis/realism_data/realism\first steps peasant woman with child.jpg,591,500,"(96, 96)"
"D:/Thesis/realism_data/realism\fishermen s quay, trouville.jpg",1131,736,
D:/Thesis/realism_data/realism\fishing boars beached in the chanel.jpg,1126,673,
D:/Thesis/realism_data/realism\fishing boats tied to the wharf.jpg,800,514,"(1, 1)"
"D:/Thesis/realism_data/realism\florence, the boboli gardens.jpg",1035,706,
D:/Thesis/realism_data/realism\fontainebleau black oaks of bas breau.jpg,997,763,
D:/Thesis/realism_data/realism\fontainebleau oaks.jpg,1258,1024,"(72, 72)"
"D:/Thesis/realism_data/realism\fontainebleau, the bas breau road.jpg",920,1033,
D:/Thesis/realism_data/realism\forest landscape.jpg,1024,683,"(72, 72)"
D:/Thesis/realism_data/realism\forest of fontainebleau.jpg,1063,742,
D:/Thesis/realism_data/realism\fountainebleau with georges d'apremont.jpg,1036,867,
D:/Thesis/realism_data/realism\friedrich der große auf reisen.jpg,1024,693,"(72, 72)"
D:/Thesis/realism_data/realism\friedrichsgracht bei mondschein.jpg,865,1024,"(72, 72)"
D:/Thesis/realism_data/realism\full-scale class.jpg,650,573,"(72, 72)"
D:/Thesis/realism_data/realism\funeral of fallen.jpg,750,518,"(96, 96)"
D:/Thesis/realism_data/realism\game of croquet.jpg,700,445,"(300, 300)"
D:/Thesis/realism_data/realism\gargantua.jpg,1780,1261,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\garnier pagès.jpg,307,512,"(72, 72)"
D:/Thesis/realism_data/realism\gateway.jpg,694,485,
D:/Thesis/realism_data/realism\general view of the town of saint lo.jpg,1092,757,
D:/Thesis/realism_data/realism\general winfield scott.jpg,440,538,
D:/Thesis/realism_data/realism\geneva view of part of the city.jpg,901,656,
"D:/Thesis/realism_data/realism\get married, gentlemen that would come in very handy.jpg",672,600,"(96, 96)"
D:/Thesis/realism_data/realism\girl in a kerchief.jpg,1400,2012,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\girl on a sofa 5 november 1848.jpg,1000,1262,
D:/Thesis/realism_data/realism\girl striding out reading a book.jpg,433,700,
D:/Thesis/realism_data/realism\girl with accordion.jpg,437,599,"(72, 72)"
D:/Thesis/realism_data/realism\girl with burak.jpg,576,716,"(72, 72)"
D:/Thesis/realism_data/realism\girl with milk.jpg,449,599,"(72, 72)"
"D:/Thesis/realism_data/realism\girl with seagulls,trouville.jpg",2024,2544,"(72, 72)"
D:/Thesis/realism_data/realism\girl with the cornflowers.jpg,1400,1993,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\glais bizoin.jpg,365,512,"(72, 72)"
D:/Thesis/realism_data/realism\gleaners at sunset.jpg,2800,1803,"(72, 72)"
D:/Thesis/realism_data/realism\going fishing.jpg,855,660,"(350, 350)"
D:/Thesis/realism_data/realism\going to market.jpg,800,560,"(72, 72)"
D:/Thesis/realism_data/realism\grey and silver old battersea reach.jpg,990,736,"(350, 350)"
D:/Thesis/realism_data/realism\gulf of finland.jpg,1000,581,
D:/Thesis/realism_data/realism\harvesting. summer.jpg,442,600,"(96, 96)"
D:/Thesis/realism_data/realism\haymaking.jpg,700,507,
D:/Thesis/realism_data/realism\head of a dead young man.jpg,900,847,"(1116, 1116)"
D:/Thesis/realism_data/realism\head of a drowned man.jpg,497,600,"(150, 150)"
D:/Thesis/realism_data/realism\head of a youth.jpg,800,971,
D:/Thesis/realism_data/realism\head of an old peasant.jpg,460,600,"(96, 96)"
D:/Thesis/realism_data/realism\head of bearded man study for the baptism of christ.jpg,498,743,"(350, 350)"
D:/Thesis/realism_data/realism\heads of torture victims study for the raft of the medusa.jpg,900,750,"(100.0, 100.0)"
D:/Thesis/realism_data/realism\hector berlioz.jpg,520,650,"(96, 96)"
"D:/Thesis/realism_data/realism\hilly landscape, auvergne.jpg",750,478,"(0, 0)"
"D:/Thesis/realism_data/realism\holm oaks, apremont.jpg",1920,1133,"(96, 96)"
D:/Thesis/realism_data/realism\homer and the shepherds in a landscape.jpg,1131,909,
D:/Thesis/realism_data/realism\honfleur calvary on the cote de grace.jpg,2024,1469,"(72, 72)"
D:/Thesis/realism_data/realism\honfleur fishing boat.jpg,800,593,
D:/Thesis/realism_data/realism\house near a pond in auvergne.jpg,543,371,"(300, 300)"
D:/Thesis/realism_data/realism\housekeeper.jpg,1607,2000,
D:/Thesis/realism_data/realism\houses near orleans.jpg,2221,1600,"(72, 72)"
"D:/Thesis/realism_data/realism\há-tchoo-túc-knee, snapping turtle, a half-breed.jpg",985,1200,"(96, 96)"
"D:/Thesis/realism_data/realism\hól-te-mál-te-téz-te-néek-ee, sam perryman creek chief.jpg",1075,1320,"(0, 0)"
D:/Thesis/realism_data/realism\in a park.jpg,504,600,"(96, 96)"
D:/Thesis/realism_data/realism\in the fields. spring.jpg,4000,2927,"(72, 72)"
D:/Thesis/realism_data/realism\in the forest.jpg,1000,800,"(72, 72)"
D:/Thesis/realism_data/realism\in the street.jpg,1576,2361,"(72, 72)"
D:/Thesis/realism_data/realism\in the woods at ville d'avray.jpg,749,597,
"D:/Thesis/realism_data/realism\interior of bernardine church in vilnius, lithuania.jpg",337,602,"(150, 150)"
"D:/Thesis/realism_data/realism\interior of trinitarian church in vilnius, lithuania.jpg",415,445,"(150, 150)"
D:/Thesis/realism_data/realism\island of san bartolommeo.jpg,610,800,
D:/Thesis/realism_data/realism\it is cholera to blame.jpg,500,422,"(96, 96)"
D:/Thesis/realism_data/realism\it rocks but does not sink.jpg,2050,2430,"(150, 150)"
D:/Thesis/realism_data/realism\italian monk reading.jpg,2000,1319,
D:/Thesis/realism_data/realism\italian with mug.jpg,1576,2111,"(72, 72)"
